name,most_common_word
Michael,good
Jim,yeah
Pam,yeah
Dwight,jim
Jan,michael
Michel,shove
Todd Packer,hey
Phyllis,michael
Stanley,michael
Oscar,michael
Angela,dwight
Kevin,yeah
Ryan,yeah
Man,hey
Roy,hey
Documentary Crew Member,move
Mr. Brown,great
Toby,michael
Kelly,ryan
Meredith,hey
Travel Agent,um
Man on Phone,elevator
Everybody,birthday
Lonny,yeah
Darryl,yeah
Teammates,yeah
Michael and Dwight,utica
Warehouse worker,roy
Madge,hey
Worker,arm
Packer,stripper
Warehouse Worker,basketball
Katy,um
Guy at bar,sing
Other Guy at Bar,yo
Guy At Bar,sing
Pam and Jim,dundies
Employee,gonna
Chili's Employee,strict
Waitress,margarita
Manager,clothes
Kevin's computer,monkey
Warehouse Guy,Does not use words
Warehouse guy,package
Warehouse guys,kissing
Video,lazy
Man in Video,todays
Actor,hey
Redheaded Actress,hey
Mr. O'Malley,love
Albiny,camera
Pam's Mom,um
Carol,michael
Bill,private
Everyone,yeah
Crowd,clapping
song,hurts
Song,hurts
Dwight and Michael,ha
Sherri,jan
Creed,hey
Devon,hey
Children,ringing
Kid,bumble
Vance Refrigeration Worker #1,hey
Vance Refrigeration Worker #2,ass
Hank the Security Guard,building
Ira,break
Ryan's Voicemail,message
Master,dwight
Alyssa,sensei
Christian,long
Hostess,scott
Michael and Christian,baby
Sadiq (IT guy),password
Mark,uh
Improv Teacher,michael
Mary-Beth,la
Girl acting Pregnant,supposed
Actress,Does not use words
Michael and Jim,singing
Kevin & Oscar,lift
All,croak
Liquor Store Clerk,16641
JIm,
Bob Vance,vance
Phyllis, Meredith, Michael, Kevin,shot
Captain Jack,captain
Brenda,yeah
Darryl and Katy,snorkel
Jim and Pam,god
Billy Merchant,michael
Doctor,sir
Lab Tech,electronics
Dana,great
Hooter's Girls,front
Phylis,angela
Gil,yeah
Pam and others,check
Ed,yeah
Todd,michael
Jim's voicemail,unheard
Women,general
Guy,dude
Men,generalized
Group chant,michael
All the Men,generalized
Dwight and Roy,time
Delivery man,sign
Craig,jan
Josh,jim
David,michael
Dan,Does not use words
Receptionist,seat
Overhead,baby
Speaker,dwight
Jim and Dwight,unison
Melissa,cool
Sasha,daddy
Abby,yeah
Jake,yeah
The Kids,raising
Kids,ewwww
Miss Trudy,tv
Edward R. Meow,uh
Chet,names
Young Michael,recess
Delivery Woman,delivery
Delivery Boy,uh
Office Staff,happy
Store Employee,maam
Pam/Jim,unison
Linda,urine
Hank,copier
Sheriff,mace
I.D. Photographer,Does not use words
Photographer,camera
Anglea,michael
Female worker,jan
Billy's Girlfriend,gonna
Billy,fine
Dealer,sir
Bob,jackass
Meredith's Vet,hey
Andy,yeah
Karen,yeah
Jerome Bettis,guys
Ted,Does not use words
Waiter,hey
Jim, Josh, and Dwight,pam
Evan,talk
Alan,yeah
Ryan and others,yeah
Hannah,baby
Announcer,attention
Pretzel guy,chocolate
Cousin Mose,bye
Tony,shook
Server,vegetarian
Girls,laugh
Kelly's Mom,money
Kelly's Father,long
Young Man,outgoing
Andy and Jim,sing
Mrs. Kapoor,police
Mr. Kapoor,nods
M ichael,wallace
Dwight:,closed
Martin,time
Male voice,james
Michael & Dwight,electric
Andy & Michael,hurt
Chef,usuba
Woman at bar,dwight
Cindy,bed
Second Cindy,hey
Other waitress,agree
Andy and Michael,big
Both,spot
Someone,trip
Harvey,long
Buyer,yep
Kenny,bermuda
Julius,great
Phone,send
Staples Guy,sell
MIchael,lot
Lady,good
Paris,gonna
Marcy,andy
Ben Franklin,life
Elizabeth,secrets
Priest,phyllis
Uncle Al,great
Randy,phyllis
Unknown,Does not use words
College Student,dude
Business Student #1,sir
Business Student #2,nationwide
Business Student #3,herfindahl
Woman,picture
Artist,coming
Student 1,adopted
Student 2,question
Student 3,high
Rachel,excuse
Dan Gore,Does not use words
Bartender,hey
Child,born
Hunter,jan
Darry,worst
Micheal,time
Larry,sir
Chad Lite,uh
Jamie,andy
Barbara,business
School Official,moment
Barbara Allen,accept
Spanish Teacher,sir
Denise,dad
Group,yeah
IT Tech Guy,generally
Nurse,nursery
Intern,ms
Pediatrician,gonna
Robert Dunder,mifflin
Amy,yeah
GPS,proceed
Larry Myers,closed
Ex-client,great
Voice of Thomas Dean,told
sAndy,start
DunMiff/sys,monitor
DwightKSchrute,monitor
Tech Guy,setting
Angels,Does not use words
Pizza guy,loser
Voice #1 on phone,hey
Voice #2 on phone,yeah
Micahel,eyes
Michae,making
Nick,captivating
Mose,car
Co-Worker 1,woman
Stanely,phone
Micael,Does not use words
Vikram,good
Co-Worker 2,dude
Co-Worker 3,love
Mr. Figaro,lipophedrine
Oscar and Stanley,pocket
Ad guy 1,sounds
Ad guy 2,hey
David Wallace,dwight
Andy, Creed, Kevin, Kelly, Darryl,call
Andy, Creed, Kevin, Kelly,people
Michael's Ad,paper
Rolando,karen
Ben,michael
Security guard,sprayed
Lester,ms
Diane Kelly,scott
Diane,uh
Deposition Reporter,scott
Council,david
Hunter's CD,night
Officer 1,dwight
Officer 2,neighbors
Officer,charged
Neighbor,weimaraner
Wendy's phone operator,wendys
Margaret,michael
Coffee shop worker,michael
Jan [on phone],michael
W.B. Jones,meet
Paul Faust,parking
Bill Cress,ohh
Paul,time
Michael/Dwight,singing
Troy,hey
Girl in Club,heard
Tall Girl #1,stay
All Girls,wooo
Tall Girl #2,Does not use words
Girl in 2nd club,aspect
Cleaning lady,ohh
Michael and Darryl,simultaneously
Phil Maguire,takes
Phil,jim
Justin,sort
Angela and Dwight,silently
Maguire,good
Woman on mic,job
Graphics guy,design
Brad,yeah
Air Force recruiter,justin
Holly,michael
Woman over speakerphone,antigravity
Vance Refrigeration guy,hey
Holy,specific
Co-workers,toby
Ronnie,dunder
Professor,professor
Friend,god
JIM9334 [screen name],meet
Receptionitis15 [screen name],
JIM9334,oclock
Receptionitis15,
Michael & Holly,ethical
Dight,michael
Kendall,holly
Michael [on phone],paaamolaaaaaa
Pam [on phone],jim
Man on phone,hear
Hank [the security guard],blues
Guy in audience,140
Michael and Holly,life
Michael, Holly, and Darryl,wanna
Tom,pam
Pete,yeah
Holly & Darryl,unison
Holly & Michael,laugh
Mother,speakerphone
Alex,pam
Customer,nice
Kevin & Andy,ooooh
Stanley & Phyllis,continue
Stewardess,moving
Beth,isle
Concierge,good
Marie,place
Guy at table,uh
Concierge Marie,mmmhmmm
Client,talking
Dacvid Walalce,hey
David Wallcve,michael
Dacvid Wallace,michael
Leo,weed
Vance Refrigeration Guy,hey
Police Officer 1,sir
Police Officer 2,sir
Guy buying doll,120
Rehab Nurse,Does not use words
Everyone watching,Does not use words
Entire Prince family,Does not use words
Prince Grandfather,paper
Entire office,hot
Prince,grandfather
Prince Granddaughter,grandma
Prince Grandmother,granddaughter
Prince Son,work
Phyllis and Creed,ahhhh
Lawyer,provision
CPR trainer,abc
CPR Trainer,20
Rose,alive
Jessica Alba,nana
Lily,sam
Sam,lilly
Warehouse Michael,michael
Julia,nice
A.J.,laughs
Phone Salesman,great
Jim, Pam, Michael and Dwight,ayyyy
Blood Drive Worker,yup
Blood Girl,nervous
Lynn,kevin
Blonde,um
Eric,uh
Girl,guys
Charles,michael
Stephanie,david
Employees,michael
Isaac,interviewing
Angela and Kelly,yep
Supervisor,work
Michal,vikram
Nana,michael
Chares,striker
Old Woman,chance
Erin,andy
Dwight and Erin,west
Dwight and Andy,country
Michael, Pam & Ryan,ugly
Secretary,uh
Automated phone voice,reach
